Phyllis Diller
Piper Laurie
Polly Bergen
Polly Holliday
Queen Latifah
Quvenzhané Wallis
Rachel Bloom
Rachel Brosnahan
Rachel Chagall
Rachel Roberts
Rachel Ward
Rachel Weisz
Raquel Welch
Reba McEntire
Rebecca Ferguson
Reese Witherspoon
Regina King
Renée Zellweger
Riley Keough
Rita Hayworth
Rita Moreno
Romola Garai
Romy Schneider
Rooney Mara
Rosalind Russell
Rosamund Pike
Roseanne Barr
Rue McClanahan
Ruth Chatterton
Ruth Negga
Ruth Wilson
S Epatha Merkerson
Sally Field
Sally Hawkins
Sally Kirkland
Salma Hayek
Samantha Eggar
Samantha Morton
Sandra Bullock
Saoirse Ronan
Sarah Hay
Sarah Jessica Parker
Sarah Miles
Sarah Paulson
Scarlett Johansson
Sharon Stone
Shelley Long
Shelley Winters
Shira Haas
Shirley Booth
Shirley Jones
Shirley MacLaine
Sienna Miller
Sigourney Weaver
Simone Signoret
Sissy Spacek
Sophia Loren
Sophie Okonedo
Stephanie Beacham
Stephanie Zimbalist
Stockard Channing
Susan Blakely
Susan Clark
Susan Hayward
Susan Sarandon
Susan Strasberg
Susannah York
Suzanne Pleshette
Suzanne Somers
Talia Shire
Taylor Schilling
Teresa Wright
Teri Hatcher
Tilda Swinton
Tina Fey
Toni Collette
Tracee Ellis Ross
Tracey Ullman
Trish Van Devere
Tuesday Weld
Uma Thurman
Valerie Harper
Valerie Perrine
Vanessa Kirby
Vanessa Redgrave
Viola Davis
Virginia McKenna
Vivien Leigh
Wendy Hiller
Whoopi Goldberg
Winona Ryder
Yalitza Aparicio
Yvette Mimieux
Ziyi Zhang
Zooey Deschanel
